# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "8" "-a" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/3.refrence_genome/Phytozome/PhytozomeV13/Zmays/Zm-B73-REFERENCE-NAM-5.0.55/annotation/Zmays_833_Zm-B73-REFERENCE-NAM-5.0.55.gene.gff3" "-F" "GFF" "-t" "gene" "-g" "ID" "-o" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/5.read_counts/gene_counts.txt" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859242_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859243_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859244_sorted.bam" "/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859245_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859242_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859243_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859244_sorted.bam	/work/jyanglab/subhash/3.single_cell_RNA_Seq/1.bulk_RNA_seq/4.alignmend_files/SRR17859245_sorted.bam
Zm00001eb148740.Zm_B73_REFERENCE_NAM_5.0.55	3	186949185	186953213	+	4029	34	34	11	20
Zm00001eb148750.Zm_B73_REFERENCE_NAM_5.0.55	3	187022581	187024106	+	1526	232	299	238	173
Zm00001eb148770.Zm_B73_REFERENCE_NAM_5.0.55	3	187150601	187159712	+	9112	53	41	59	56
Zm00001eb148780.Zm_B73_REFERENCE_NAM_5.0.55	3	187158633	187164353	-	5721	3349	3626	3715	2312
Zm00001eb148790.Zm_B73_REFERENCE_NAM_5.0.55	3	187193985	187206591	+	12607	1958	2604	3415	2245
Zm00001eb148800.Zm_B73_REFERENCE_NAM_5.0.55	3	187243772	187244330	+	559	108	57	32	52
Zm00001eb148810.Zm_B73_REFERENCE_NAM_5.0.55	3	187248993	187249600	+	608	4	0	0	8
Zm00001eb148820.Zm_B73_REFERENCE_NAM_5.0.55	3	187276626	187282647	-	6022	2196	2860	3491	2368
Zm00001eb148830.Zm_B73_REFERENCE_NAM_5.0.55	3	187399053	187400926	+	1874	6779	13627	18891	11836
Zm00001eb148840.Zm_B73_REFERENCE_NAM_5.0.55	3	187527824	187528640	-	817	0	0	0	0
Zm00001eb148850.Zm_B73_REFERENCE_NAM_5.0.55	3	187529532	187531998	+	2467	1905	2355	2220	1873
Zm00001eb148860.Zm_B73_REFERENCE_NAM_5.0.55	3	187583522	187584349	-	828	71	57	52	31
Zm00001eb148870.Zm_B73_REFERENCE_NAM_5.0.55	3	187585294	187593909	-	8616	0	1	2	2
Zm00001eb148880.Zm_B73_REFERENCE_NAM_5.0.55	3	187594434	187599982	+	5549	1731	2067	2494	1816
Zm00001eb148890.Zm_B73_REFERENCE_NAM_5.0.55	3	187685922	187689862	+	3941	1866	2306	2212	1650
Zm00001eb148900.Zm_B73_REFERENCE_NAM_5.0.55	3	187691899	187723949	-	32051	96	96	76	47
Zm00001eb148910.Zm_B73_REFERENCE_NAM_5.0.55	3	187781582	187785753	+	4172	1013	1665	3129	1683
Zm00001eb148920.Zm_B73_REFERENCE_NAM_5.0.55	3	187786666	187790149	-	3484	1010	1295	1341	1153
Zm00001eb148930.Zm_B73_REFERENCE_NAM_5.0.55	3	187820253	187828249	+	7997	1430	1605	1629	1459
Zm00001eb148940.Zm_B73_REFERENCE_NAM_5.0.55	3	187822885	187825568	-	2684	0	0	0	0
Zm00001eb148950.Zm_B73_REFERENCE_NAM_5.0.55	3	187844582	187849948	-	5367	1628	1641	1107	847
Zm00001eb148960.Zm_B73_REFERENCE_NAM_5.0.55	3	187946425	187951771	-	5347	17	40	20	25
Zm00001eb148970.Zm_B73_REFERENCE_NAM_5.0.55	3	187973166	187977571	+	4406	0	0	0	0
Zm00001eb148980.Zm_B73_REFERENCE_NAM_5.0.55	3	188037088	188040502	-	3415	2616	2585	2206	1704
Zm00001eb148990.Zm_B73_REFERENCE_NAM_5.0.55	3	188190176	188191189	+	1014	0	0	0	0
Zm00001eb149000.Zm_B73_REFERENCE_NAM_5.0.55	3	188227201	188232255	-	5055	7531	5697	5004	4995
Zm00001eb149010.Zm_B73_REFERENCE_NAM_5.0.55	3	188366279	188368733	+	2455	1639	1507	1392	1257
Zm00001eb149030.Zm_B73_REFERENCE_NAM_5.0.55	3	188370338	188374847	+	4510	759	1371	1278	791
Zm00001eb149040.Zm_B73_REFERENCE_NAM_5.0.55	3	188384228	188389867	+	5640	0	1	12	5
Zm00001eb149060.Zm_B73_REFERENCE_NAM_5.0.55	3	188416100	188416873	+	774	0	0	0	0
Zm00001eb149070.Zm_B73_REFERENCE_NAM_5.0.55	3	188423860	188425510	+	1651	26	14	6	6
Zm00001eb149080.Zm_B73_REFERENCE_NAM_5.0.55	3	188428169	188428913	+	745	0	0	0	0
Zm00001eb149090.Zm_B73_REFERENCE_NAM_5.0.55	3	188435931	188437253	-	1323	64	102	61	44
Zm00001eb149110.Zm_B73_REFERENCE_NAM_5.0.55	3	188495424	188500875	-	5452	64	60	68	54
Zm00001eb149120.Zm_B73_REFERENCE_NAM_5.0.55	3	188554018	188555505	+	1488	230	188	197	111
Zm00001eb149130.Zm_B73_REFERENCE_NAM_5.0.55	3	188594654	188603196	-	8543	901	1499	1450	1151
Zm00001eb149140.Zm_B73_REFERENCE_NAM_5.0.55	3	188596048	188596795	-	748	0	0	0	0
Zm00001eb149150.Zm_B73_REFERENCE_NAM_5.0.55	3	188665919	188668132	-	2214	1	2	2	8
Zm00001eb149160.Zm_B73_REFERENCE_NAM_5.0.55	3	188669580	188673247	-	3668	21	16	18	14
Zm00001eb149170.Zm_B73_REFERENCE_NAM_5.0.55	3	188685674	188688072	-	2399	20	17	32	10
Zm00001eb149180.Zm_B73_REFERENCE_NAM_5.0.55	3	188689346	188691656	-	2311	374	436	467	319
Zm00001eb149190.Zm_B73_REFERENCE_NAM_5.0.55	3	188691836	188692639	+	804	0	0	0	0
Zm00001eb149200.Zm_B73_REFERENCE_NAM_5.0.55	3	188748676	188751253	-	2578	0	0	0	0
Zm00001eb149210.Zm_B73_REFERENCE_NAM_5.0.55	3	188751345	188751875	+	531	0	0	0	0
Zm00001eb149220.Zm_B73_REFERENCE_NAM_5.0.55	3	188752588	188753876	-	1289	0	0	0	0
Zm00001eb149230.Zm_B73_REFERENCE_NAM_5.0.55	3	188752589	188753753	+	1165	0	0	0	0
Zm00001eb149240.Zm_B73_REFERENCE_NAM_5.0.55	3	188759291	188761810	-	2520	8746	7866	4781	4461
Zm00001eb149250.Zm_B73_REFERENCE_NAM_5.0.55	3	188948706	188966844	+	18139	203	236	154	191
Zm00001eb149270.Zm_B73_REFERENCE_NAM_5.0.55	3	188968991	188974192	+	5202	420	443	339	409
Zm00001eb149280.Zm_B73_REFERENCE_NAM_5.0.55	3	188986768	188987804	+	1037	0	0	0	0
Zm00001eb149290.Zm_B73_REFERENCE_NAM_5.0.55	3	188986854	188988074	-	1221	0	0	0	0
Zm00001eb149300.Zm_B73_REFERENCE_NAM_5.0.55	3	188996178	188999173	-	2996	0	0	2	1
Zm00001eb149310.Zm_B73_REFERENCE_NAM_5.0.55	3	189076485	189079442	-	2958	176	259	192	153
Zm00001eb149320.Zm_B73_REFERENCE_NAM_5.0.55	3	189114044	189114668	+	625	0	0	0	0
Zm00001eb149330.Zm_B73_REFERENCE_NAM_5.0.55	3	189196427	189203271	+	6845	1759	1759	1564	1389
Zm00001eb149340.Zm_B73_REFERENCE_NAM_5.0.55	3	189205739	189208480	+	2742	59	78	79	28
Zm00001eb149360.Zm_B73_REFERENCE_NAM_5.0.55	3	189249488	189252205	-	2718	9	14	7	5
Zm00001eb149370.Zm_B73_REFERENCE_NAM_5.0.55	3	189251008	189252448	+	1441	0	0	0	0
Zm00001eb149390.Zm_B73_REFERENCE_NAM_5.0.55	3	189323049	189329425	-	6377	972	1407	1600	1325
Zm00001eb149400.Zm_B73_REFERENCE_NAM_5.0.55	3	189346929	189348181	-	1253	54	94	122	77
Zm00001eb149410.Zm_B73_REFERENCE_NAM_5.0.55	3	189348674	189354357	+	5684	3	2	3	2
Zm00001eb149420.Zm_B73_REFERENCE_NAM_5.0.55	3	189399504	189402069	+	2566	1625	1833	1954	1208
Zm00001eb149430.Zm_B73_REFERENCE_NAM_5.0.55	3	189409175	189413070	-	3896	83	142	91	81
Zm00001eb149440.Zm_B73_REFERENCE_NAM_5.0.55	3	189409547	189411748	+	2202	0	0	0	0
Zm00001eb149450.Zm_B73_REFERENCE_NAM_5.0.55	3	189443977	189445513	+	1537	12	3	11	3
Zm00001eb149460.Zm_B73_REFERENCE_NAM_5.0.55	3	189488491	189490486	-	1996	9161	13801	9235	4706
Zm00001eb149470.Zm_B73_REFERENCE_NAM_5.0.55	3	189510284	189510825	-	542	1	7	2	2
Zm00001eb149480.Zm_B73_REFERENCE_NAM_5.0.55	3	189555301	189555807	-	507	0	0	0	0
Zm00001eb149490.Zm_B73_REFERENCE_NAM_5.0.55	3	189565498	189566557	+	1060	0	0	0	0
Zm00001eb149500.Zm_B73_REFERENCE_NAM_5.0.55	3	189592275	189593400	+	1126	527	810	427	287
Zm00001eb149510.Zm_B73_REFERENCE_NAM_5.0.55	3	189738835	189751564	+	12730	2015	2537	2467	1993
Zm00001eb149520.Zm_B73_REFERENCE_NAM_5.0.55	3	189795337	189801980	+	6644	1005	878	798	710
Zm00001eb149530.Zm_B73_REFERENCE_NAM_5.0.55	3	189822703	189826534	+	3832	1025	1471	1668	1051
Zm00001eb149540.Zm_B73_REFERENCE_NAM_5.0.55	3	189968523	189973370	+	4848	1318	1433	1409	1227
Zm00001eb149550.Zm_B73_REFERENCE_NAM_5.0.55	3	189975073	189976602	-	1530	407	371	229	423
Zm00001eb149570.Zm_B73_REFERENCE_NAM_5.0.55	3	190004165	190007206	+	3042	49	42	20	33
Zm00001eb149580.Zm_B73_REFERENCE_NAM_5.0.55	3	190089267	190098848	-	9582	20	4	8	14
Zm00001eb149590.Zm_B73_REFERENCE_NAM_5.0.55	3	190112776	190113210	+	435	0	0	0	0
Zm00001eb149600.Zm_B73_REFERENCE_NAM_5.0.55	3	190197068	190205511	-	8444	27	44	20	24
Zm00001eb149610.Zm_B73_REFERENCE_NAM_5.0.55	3	190379056	190414696	+	35641	2169	2892	3236	2315
Zm00001eb149620.Zm_B73_REFERENCE_NAM_5.0.55	3	190423301	190425880	-	2580	60	102	88	80
Zm00001eb149630.Zm_B73_REFERENCE_NAM_5.0.55	3	190426462	190428672	-	2211	111	154	106	64
Zm00001eb149640.Zm_B73_REFERENCE_NAM_5.0.55	3	190461748	190465612	-	3865	5780	6550	6668	5467
Zm00001eb149650.Zm_B73_REFERENCE_NAM_5.0.55	3	190466731	190474020	-	7290	182	281	181	231
Zm00001eb149660.Zm_B73_REFERENCE_NAM_5.0.55	3	190529839	190535020	-	5182	578	608	500	381
Zm00001eb149670.Zm_B73_REFERENCE_NAM_5.0.55	3	190582206	190590548	+	8343	1431	1218	1141	833
Zm00001eb149680.Zm_B73_REFERENCE_NAM_5.0.55	3	190589767	190595063	-	5297	1058	1442	990	716
Zm00001eb149690.Zm_B73_REFERENCE_NAM_5.0.55	3	190765742	190773015	-	7274	539	1003	1185	669
Zm00001eb149700.Zm_B73_REFERENCE_NAM_5.0.55	3	190837031	190840715	+	3685	143	131	224	118
Zm00001eb149710.Zm_B73_REFERENCE_NAM_5.0.55	3	190838980	190840653	-	1674	0	0	0	0
Zm00001eb149720.Zm_B73_REFERENCE_NAM_5.0.55	3	190842572	190847442	-	4871	2086	2353	2920	2269
Zm00001eb149730.Zm_B73_REFERENCE_NAM_5.0.55	3	190925127	190929731	-	4605	21508	23508	33412	22909
Zm00001eb149740.Zm_B73_REFERENCE_NAM_5.0.55	3	191019176	191020336	-	1161	488	450	570	357
Zm00001eb149750.Zm_B73_REFERENCE_NAM_5.0.55	3	191053170	191058271	+	5102	531	530	237	325
Zm00001eb149760.Zm_B73_REFERENCE_NAM_5.0.55	3	191058968	191062657	+	3690	38	25	36	18
Zm00001eb149770.Zm_B73_REFERENCE_NAM_5.0.55	3	191128275	191130730	-	2456	4	0	4	4
Zm00001eb149780.Zm_B73_REFERENCE_NAM_5.0.55	3	191131759	191146248	-	14490	174	137	87	106
Zm00001eb149790.Zm_B73_REFERENCE_NAM_5.0.55	3	191146891	191156447	-	9557	1603	1030	759	1083
Zm00001eb149800.Zm_B73_REFERENCE_NAM_5.0.55	3	191230487	191278168	+	47682	4259	4823	5356	3386
Zm00001eb149810.Zm_B73_REFERENCE_NAM_5.0.55	3	191284856	191287422	+	2567	302	392	157	355
Zm00001eb149820.Zm_B73_REFERENCE_NAM_5.0.55	3	191287731	191293846	+	6116	771	841	651	540
Zm00001eb149830.Zm_B73_REFERENCE_NAM_5.0.55	3	191296190	191299947	-	3758	184	226	314	190
Zm00001eb149840.Zm_B73_REFERENCE_NAM_5.0.55	3	191301442	191302942	+	1501	175	208	74	96
Zm00001eb149860.Zm_B73_REFERENCE_NAM_5.0.55	3	191319839	191323625	+	3787	9198	10435	11955	10298
Zm00001eb149870.Zm_B73_REFERENCE_NAM_5.0.55	3	191351497	191352724	+	1228	0	0	0	1
Zm00001eb149880.Zm_B73_REFERENCE_NAM_5.0.55	3	191357968	191361007	+	3040	79	89	57	56
Zm00001eb149890.Zm_B73_REFERENCE_NAM_5.0.55	3	191462597	191468207	+	5611	269	345	326	318
Zm00001eb149900.Zm_B73_REFERENCE_NAM_5.0.55	3	191468714	191471922	+	3209	1344	2000	1568	1288
Zm00001eb149910.Zm_B73_REFERENCE_NAM_5.0.55	3	191473376	191475200	+	1825	15	50	42	30
Zm00001eb149920.Zm_B73_REFERENCE_NAM_5.0.55	3	191477640	191480776	-	3137	293	403	289	256
Zm00001eb149940.Zm_B73_REFERENCE_NAM_5.0.55	3	191482965	191487463	-	4499	545	847	841	591
Zm00001eb149950.Zm_B73_REFERENCE_NAM_5.0.55	3	191519299	191525587	-	6289	1866	2009	2113	1429
Zm00001eb149960.Zm_B73_REFERENCE_NAM_5.0.55	3	191572683	191576818	+	4136	103	120	83	107
Zm00001eb149970.Zm_B73_REFERENCE_NAM_5.0.55	3	191649069	191654691	+	5623	517	618	597	490
Zm00001eb149980.Zm_B73_REFERENCE_NAM_5.0.55	3	191662107	191665645	-	3539	2627	3222	3594	2976
Zm00001eb149990.Zm_B73_REFERENCE_NAM_5.0.55	3	191715120	191716808	-	1689	0	0	0	0
Zm00001eb150000.Zm_B73_REFERENCE_NAM_5.0.55	3	191737220	191740660	-	3441	0	0	1	0
Zm00001eb150010.Zm_B73_REFERENCE_NAM_5.0.55	3	191848678	191853865	+	5188	1434	1579	1430	1121
Zm00001eb150020.Zm_B73_REFERENCE_NAM_5.0.55	3	191859831	191865948	+	6118	702	711	541	519
Zm00001eb150030.Zm_B73_REFERENCE_NAM_5.0.55	3	191866904	191868555	-	1652	0	0	0	0
Zm00001eb150040.Zm_B73_REFERENCE_NAM_5.0.55	3	191866959	191868487	+	1529	0	0	0	0
Zm00001eb150050.Zm_B73_REFERENCE_NAM_5.0.55	3	191894868	191895885	-	1018	117	86	51	94
Zm00001eb150070.Zm_B73_REFERENCE_NAM_5.0.55	3	191897736	191898167	-	432	0	0	0	0
Zm00001eb150080.Zm_B73_REFERENCE_NAM_5.0.55	3	191898516	191899043	-	528	0	0	0	0
Zm00001eb150090.Zm_B73_REFERENCE_NAM_5.0.55	3	191929650	191931836	-	2187	510	471	352	368
Zm00001eb150100.Zm_B73_REFERENCE_NAM_5.0.55	3	191942276	191948044	-	5769	831	990	945	780
Zm00001eb150110.Zm_B73_REFERENCE_NAM_5.0.55	3	192024649	192026196	-	1548	0	0	0	0
Zm00001eb150120.Zm_B73_REFERENCE_NAM_5.0.55	3	192024754	192026308	+	1555	1	0	0	0
Zm00001eb150130.Zm_B73_REFERENCE_NAM_5.0.55	3	192027559	192032814	-	5256	1899	2337	2497	1966
Zm00001eb150140.Zm_B73_REFERENCE_NAM_5.0.55	3	192102234	192106236	-	4003	250	331	186	197
Zm00001eb150150.Zm_B73_REFERENCE_NAM_5.0.55	3	192120948	192126324	+	5377	593	689	714	536
Zm00001eb150160.Zm_B73_REFERENCE_NAM_5.0.55	3	192128331	192133601	-	5271	721	905	841	568
Zm00001eb150170.Zm_B73_REFERENCE_NAM_5.0.55	3	192145479	192146642	-	1164	47	56	67	62
Zm00001eb150180.Zm_B73_REFERENCE_NAM_5.0.55	3	192148872	192154289	-	5418	2569	2668	3412	2623
Zm00001eb150200.Zm_B73_REFERENCE_NAM_5.0.55	3	192159088	192160974	-	1887	0	0	0	9
Zm00001eb150210.Zm_B73_REFERENCE_NAM_5.0.55	3	192161011	192161492	-	482	0	0	0	41
Zm00001eb150220.Zm_B73_REFERENCE_NAM_5.0.55	3	192161645	192165188	-	3544	0	0	0	21
Zm00001eb150230.Zm_B73_REFERENCE_NAM_5.0.55	3	192179905	192180309	+	405	0	0	0	0
Zm00001eb150240.Zm_B73_REFERENCE_NAM_5.0.55	3	192183901	192187956	-	4056	9	0	0	2
Zm00001eb150250.Zm_B73_REFERENCE_NAM_5.0.55	3	192195684	192197508	+	1825	18	26	19	56
Zm00001eb150260.Zm_B73_REFERENCE_NAM_5.0.55	3	192261109	192264979	-	3871	2606	2889	2183	1544
Zm00001eb150270.Zm_B73_REFERENCE_NAM_5.0.55	3	192265207	192268878	-	3672	261	450	374	320
Zm00001eb150280.Zm_B73_REFERENCE_NAM_5.0.55	3	192268919	192273036	+	4118	416	529	439	439
Zm00001eb150290.Zm_B73_REFERENCE_NAM_5.0.55	3	192307882	192310634	-	2753	468	485	417	468
Zm00001eb150310.Zm_B73_REFERENCE_NAM_5.0.55	3	192313949	192315206	-	1258	0	0	0	0
Zm00001eb150320.Zm_B73_REFERENCE_NAM_5.0.55	3	192318045	192323045	-	5001	7345	7795	7929	6269
Zm00001eb150330.Zm_B73_REFERENCE_NAM_5.0.55	3	192357835	192358152	-	318	0	0	0	0
Zm00001eb150340.Zm_B73_REFERENCE_NAM_5.0.55	3	192364891	192371330	-	6440	105	291	104	61
Zm00001eb150350.Zm_B73_REFERENCE_NAM_5.0.55	3	192375643	192379968	-	4326	0	0	0	114
Zm00001eb150360.Zm_B73_REFERENCE_NAM_5.0.55	3	192410989	192421304	+	10316	2101	2012	1533	1296
Zm00001eb150370.Zm_B73_REFERENCE_NAM_5.0.55	3	192421387	192425375	-	3989	3036	3275	3345	2720
Zm00001eb150380.Zm_B73_REFERENCE_NAM_5.0.55	3	192474378	192478266	+	3889	429	745	832	491
Zm00001eb150400.Zm_B73_REFERENCE_NAM_5.0.55	3	192517279	192519568	+	2290	319	434	364	307
Zm00001eb150410.Zm_B73_REFERENCE_NAM_5.0.55	3	192521900	192525339	+	3440	366	546	565	552
Zm00001eb150420.Zm_B73_REFERENCE_NAM_5.0.55	3	192526005	192529908	-	3904	9611	13282	20171	13854
Zm00001eb150430.Zm_B73_REFERENCE_NAM_5.0.55	3	192529992	192532163	+	2172	712	868	812	599
Zm00001eb150440.Zm_B73_REFERENCE_NAM_5.0.55	3	192535119	192556380	+	21262	795	785	753	648
Zm00001eb150450.Zm_B73_REFERENCE_NAM_5.0.55	3	192558887	192561746	+	2860	1104	1860	1832	1177
Zm00001eb150460.Zm_B73_REFERENCE_NAM_5.0.55	3	192562189	192565830	-	3642	279	452	706	407
Zm00001eb150470.Zm_B73_REFERENCE_NAM_5.0.55	3	192567391	192571400	-	4010	258	393	211	230
Zm00001eb150500.Zm_B73_REFERENCE_NAM_5.0.55	3	192616685	192618063	-	1379	7	6	4	8
Zm00001eb150510.Zm_B73_REFERENCE_NAM_5.0.55	3	192618221	192619571	+	1351	46	49	47	26
Zm00001eb150520.Zm_B73_REFERENCE_NAM_5.0.55	3	192659786	192661337	+	1552	0	0	0	0
Zm00001eb150530.Zm_B73_REFERENCE_NAM_5.0.55	3	192687124	192689418	+	2295	222	336	254	270
Zm00001eb150540.Zm_B73_REFERENCE_NAM_5.0.55	3	192694369	192696619	+	2251	8304	6386	5548	3879
Zm00001eb150550.Zm_B73_REFERENCE_NAM_5.0.55	3	192786728	192789449	+	2722	3051	2502	2176	2537
Zm00001eb150560.Zm_B73_REFERENCE_NAM_5.0.55	3	192789811	192795566	-	5756	3481	4002	4128	4092
Zm00001eb150590.Zm_B73_REFERENCE_NAM_5.0.55	3	192862691	192865780	+	3090	36	17	18	15
Zm00001eb150600.Zm_B73_REFERENCE_NAM_5.0.55	3	192937741	192945439	+	7699	0	0	0	0
Zm00001eb150610.Zm_B73_REFERENCE_NAM_5.0.55	3	192945052	192946498	-	1447	0	0	0	0
Zm00001eb150620.Zm_B73_REFERENCE_NAM_5.0.55	3	192950232	192951013	+	782	114	137	121	85
Zm00001eb150630.Zm_B73_REFERENCE_NAM_5.0.55	3	192968772	192974092	-	5321	1020	1212	724	996
Zm00001eb150640.Zm_B73_REFERENCE_NAM_5.0.55	3	193027709	193031273	+	3565	1307	2218	2631	1667
Zm00001eb150650.Zm_B73_REFERENCE_NAM_5.0.55	3	193067637	193071177	+	3541	181	188	167	149
Zm00001eb150660.Zm_B73_REFERENCE_NAM_5.0.55	3	193145986	193146395	+	410	0	2	1	0
Zm00001eb150670.Zm_B73_REFERENCE_NAM_5.0.55	3	193290663	193291898	-	1236	0	2	0	2
Zm00001eb150680.Zm_B73_REFERENCE_NAM_5.0.55	3	193291564	193301768	+	10205	110	144	95	85
Zm00001eb150690.Zm_B73_REFERENCE_NAM_5.0.55	3	193335022	193336238	+	1217	0	4	0	5
Zm00001eb150710.Zm_B73_REFERENCE_NAM_5.0.55	3	193373049	193373979	+	931	129	108	103	70
Zm00001eb150720.Zm_B73_REFERENCE_NAM_5.0.55	3	193374964	193381659	-	6696	1355	1970	2275	1595
Zm00001eb150730.Zm_B73_REFERENCE_NAM_5.0.55	3	193384753	193387670	-	2918	11967	11883	14374	11220
Zm00001eb150740.Zm_B73_REFERENCE_NAM_5.0.55	3	193391008	193393474	-	2467	635	837	1332	1103
Zm00001eb150750.Zm_B73_REFERENCE_NAM_5.0.55	3	193429892	193432838	-	2947	2	16	4	2
Zm00001eb150770.Zm_B73_REFERENCE_NAM_5.0.55	3	193575935	193577493	-	1559	2	1	0	0
Zm00001eb150780.Zm_B73_REFERENCE_NAM_5.0.55	3	193576002	193577458	+	1457	0	0	0	0
Zm00001eb150790.Zm_B73_REFERENCE_NAM_5.0.55	3	193577708	193591473	+	13766	223	215	144	166
Zm00001eb150800.Zm_B73_REFERENCE_NAM_5.0.55	3	193591857	193592824	-	968	86	91	171	76
Zm00001eb150810.Zm_B73_REFERENCE_NAM_5.0.55	3	193592974	193597684	-	4711	164	164	168	204
Zm00001eb150820.Zm_B73_REFERENCE_NAM_5.0.55	3	193599687	193603256	-	3570	613	1133	1492	934
Zm00001eb150830.Zm_B73_REFERENCE_NAM_5.0.55	3	193632390	193633656	-	1267	8	12	4	12
Zm00001eb150840.Zm_B73_REFERENCE_NAM_5.0.55	3	193740975	193742100	-	1126	1143	1434	1179	713
Zm00001eb150860.Zm_B73_REFERENCE_NAM_5.0.55	3	193860730	193879245	+	18516	78	86	111	86
Zm00001eb150880.Zm_B73_REFERENCE_NAM_5.0.55	3	193947580	193958788	+	11209	651	749	702	487
Zm00001eb150890.Zm_B73_REFERENCE_NAM_5.0.55	3	193973974	193974626	+	653	5	3	3	6
Zm00001eb150900.Zm_B73_REFERENCE_NAM_5.0.55	3	193974283	193974522	-	240	0	0	0	0
Zm00001eb150910.Zm_B73_REFERENCE_NAM_5.0.55	3	193977662	193978705	-	1044	5	16	0	13
Zm00001eb150930.Zm_B73_REFERENCE_NAM_5.0.55	3	194258837	194259384	+	548	0	0	0	0
Zm00001eb150940.Zm_B73_REFERENCE_NAM_5.0.55	3	194263448	194264555	-	1108	0	0	1	0
Zm00001eb150950.Zm_B73_REFERENCE_NAM_5.0.55	3	194291920	194294336	-	2417	8	4	12	8
Zm00001eb150960.Zm_B73_REFERENCE_NAM_5.0.55	3	194401616	194412593	+	10978	7020	7958	6994	5759
Zm00001eb150970.Zm_B73_REFERENCE_NAM_5.0.55	3	194411257	194415009	-	3753	116	180	178	112
Zm00001eb150990.Zm_B73_REFERENCE_NAM_5.0.55	3	194512914	194513386	-	473	0	0	0	0
Zm00001eb151000.Zm_B73_REFERENCE_NAM_5.0.55	3	194512939	194513829	+	891	20	29	12	7
Zm00001eb151010.Zm_B73_REFERENCE_NAM_5.0.55	3	194516690	194517251	+	562	26	21	24	12
Zm00001eb151030.Zm_B73_REFERENCE_NAM_5.0.55	3	194520861	194521650	+	790	36	20	6	21
Zm00001eb151040.Zm_B73_REFERENCE_NAM_5.0.55	3	194522019	194523480	+	1462	0	0	0	0
Zm00001eb151050.Zm_B73_REFERENCE_NAM_5.0.55	3	194524211	194526178	-	1968	2638	5242	6647	4293
Zm00001eb151060.Zm_B73_REFERENCE_NAM_5.0.55	3	194526409	194530219	+	3811	4042	4694	5063	4831
Zm00001eb151070.Zm_B73_REFERENCE_NAM_5.0.55	3	194550603	194554987	-	4385	1018	1632	2286	1077
Zm00001eb151080.Zm_B73_REFERENCE_NAM_5.0.55	3	194592047	194594314	+	2268	2169	660	1778	1397
Zm00001eb151090.Zm_B73_REFERENCE_NAM_5.0.55	3	194594566	194596394	-	1829	70	22	34	35
Zm00001eb151100.Zm_B73_REFERENCE_NAM_5.0.55	3	194659672	194663603	+	3932	269	500	366	277
Zm00001eb151110.Zm_B73_REFERENCE_NAM_5.0.55	3	194713201	194715198	+	1998	1134	1896	2205	1397
Zm00001eb151120.Zm_B73_REFERENCE_NAM_5.0.55	3	194748309	194750865	+	2557	179	201	305	162
Zm00001eb151130.Zm_B73_REFERENCE_NAM_5.0.55	3	194751126	194756306	-	5181	16	24	22	31
Zm00001eb151140.Zm_B73_REFERENCE_NAM_5.0.55	3	194758159	194759901	-	1743	3021	3514	1948	1940
Zm00001eb151150.Zm_B73_REFERENCE_NAM_5.0.55	3	194836245	194840589	+	4345	774	815	861	677
Zm00001eb151160.Zm_B73_REFERENCE_NAM_5.0.55	3	194841782	194842840	-	1059	239	196	180	196
Zm00001eb151170.Zm_B73_REFERENCE_NAM_5.0.55	3	194882743	194884968	-	2226	4	6	8	12
Zm00001eb151180.Zm_B73_REFERENCE_NAM_5.0.55	3	194892303	194892611	-	309	0	0	0	0
Zm00001eb151190.Zm_B73_REFERENCE_NAM_5.0.55	3	194913027	194915570	+	2544	2238	1174	1582	1695
Zm00001eb151200.Zm_B73_REFERENCE_NAM_5.0.55	3	194958381	194964837	+	6457	2582	2620	1905	1928
Zm00001eb151210.Zm_B73_REFERENCE_NAM_5.0.55	3	194995268	194997562	+	2295	0	0	6	12
Zm00001eb151220.Zm_B73_REFERENCE_NAM_5.0.55	3	194998310	195001087	+	2778	504	843	331	273
Zm00001eb151240.Zm_B73_REFERENCE_NAM_5.0.55	3	195126406	195129136	+	2731	30	31	36	28
Zm00001eb151250.Zm_B73_REFERENCE_NAM_5.0.55	3	195164272	195166812	-	2541	18	98	174	71
Zm00001eb151260.Zm_B73_REFERENCE_NAM_5.0.55	3	195295463	195297565	+	2103	2	0	0	0
